Student_ID,Gender,Age,Department,Year_of_Study,Attendance_Percentage,Study_Hours_Per_Day,Previous_CGPA,Assignment_Completion_Rate,Online_Resources_Used,Extracurricular_Activities,Sleep_Hours,Family_Income_Category,Internet_Access,Mental_Health_Score,Part_Time_Job,Distance_From_College_KM,Final_Grade,Performance_Score,Predicted_Score,Risk_Category,Attendance_Group,Study_Group
S0001,Male,18,Civil,1,73.1,7.9,8.36,81.1,Yes,2,7.5,Low,Yes,8.3,No,7.2,D,35.6,40.69699999999996,At-Risk,"(60, 75]","(6, 10]"
S0002,Female,20,BBA,3,84.7,4.1,9.4,66.8,No,1,5.4,Medium,Yes,2.7,Yes,3.1,C,48.1,49.72799999999997,At-Risk,"(75, 90]","(4, 6]"
S0003,Female,22,Electrical,4,86.9,6.5,7.19,66.6,No,2,5.4,Medium,No,10.0,No,3.5,C,59.0,57.55499999999999,At-Risk,"(75, 90]","(6, 10]"
S0004,Female,21,BBA,2,86.3,6.7,9.26,66.8,Yes,2,6.7,High,Yes,7.9,No,4.2,C,50.5,55.257999999999996,At-Risk,"(75, 90]","(6, 10]"
S0005,Male,22,Civil,1,65.8,2.1,6.24,62.3,No,2,6.8,Low,No,8.7,Yes,7.0,D,33.8,33.03700000000004,At-Risk,"(60, 75]","(2, 4]"
S0006,Male,21,MBA,1,76.3,4.8,6.46,56.1,Yes,1,8.1,Medium,Yes,6.8,No,11.6,D,42.1,44.239999999999974,At-Risk,"(75, 90]","(4, 6]"
S0007,Male,21,Mechanical,1,81.6,7.1,8.93,80.8,Yes,4,5.6,Medium,Yes,6.2,No,20.4,D,41.5,46.04599999999999,At-Risk,"(75, 90]","(6, 10]"
S0008,Female,22,MBA,2,76.5,3.4,7.27,61.4,Yes,3,6.0,Medium,Yes,5.9,No,4.4,C,52.0,49.037,At-Risk,"(75, 90]","(2, 4]"
S0009,Female,19,BBA,3,67.0,0.8,5.34,56.2,Yes,0,9.7,Medium,Yes,5.5,Yes,3.0,D,34.3,32.83800000000004,At-Risk,"(60, 75]","(0, 2]"
S0010,Female,20,Mechanical,1,77.4,4.1,7.42,80.3,Yes,1,4.3,Medium,Yes,6.4,Yes,5.8,B,60.0,53.655,At-Risk,"(75, 90]","(4, 6]"
S0011,Male,19,Computer Science,3,73.6,4.1,6.2,82.7,Yes,1,4.1,Medium,Yes,4.2,No,23.5,D,41.2,41.810999999999964,At-Risk,"(60, 75]","(4, 6]"
S0012,Other,25,Electronics,4,85.0,5.6,7.31,52.7,No,1,4.8,Low,No,7.1,No,1.1,C,58.0,56.26499999999999,At-Risk,"(75, 90]","(4, 6]"
S0013,Female,23,MBA,2,61.6,2.1,4.08,49.0,No,4,7.8,Medium,Yes,6.0,Yes,12.3,F,9.0,15.137999999999998,At-Risk,"(60, 75]","(2, 4]"
S0014,Male,17,Civil,3,57.1,2.2,4.75,48.8,Yes,0,6.0,Low,Yes,6.5,No,7.5,F,28.9,29.774000000000036,At-Risk,"(0, 60]","(2, 4]"
S0015,Male,21,Computer Science,2,74.6,3.0,7.39,66.8,No,4,6.0,Medium,No,7.6,Yes,2.8,D,39.3,39.17400000000005,At-Risk,"(60, 75]","(2, 4]"
