Student_ID,Gender,Age,Department,Year_of_Study,Attendance_Percentage,Study_Hours_Per_Day,Previous_CGPA,Assignment_Completion_Rate,Online_Resources_Used,Extracurricular_Activities,Sleep_Hours,Family_Income_Category,Internet_Access,Mental_Health_Score,Part_Time_Job,Distance_From_College_KM,Final_Grade,Performance_Score
S0001,Male,18,Civil,1,73.1,7.9,8.36,81.1,Yes,2,7.5,Low,Yes,8.3,No,7.2,D,35.6
S0002,Female,20,BBA,3,84.7,4.1,9.4,,No,1,5.4,Medium,Yes,2.7,Yes,3.1,C,48.1
S0003,Female,22,Electrical,4,86.9,6.5,7.19,66.6,No,2,5.4,Medium,No,10.0,No,3.5,C,59.0
S0004,Female,21,BBA,2,86.3,6.7,9.26,,Yes,2,6.7,High,Yes,7.9,No,4.2,C,50.5
S0005,Male,22,Civil,1,65.8,2.1,6.24,62.3,No,2,6.8,Low,No,8.7,Yes,7.0,D,33.8
S0006,Male,21,MBA,1,,4.8,6.46,56.1,Yes,1,8.1,Medium,Yes,6.8,No,11.6,D,42.1
S0007,Male,21,Mechanical,1,81.6,7.1,8.93,80.8,Yes,4,5.6,Medium,Yes,6.2,No,20.4,D,41.5
S0008,Female,22,MBA,2,76.5,3.4,7.27,61.4,Yes,3,6.0,Medium,Yes,5.9,No,4.4,C,52.0
S0009,Female,19,BBA,3,67.0,0.8,5.34,56.2,Yes,0,9.9,Medium,Yes,5.5,Yes,3.0,D,34.3
S0010,Female,20,Mechanical,1,77.4,4.1,7.42,80.3,Yes,1,4.3,Medium,Yes,6.4,Yes,5.8,B,60.0
S0011,Male,19,Computer Science,3,73.6,4.1,6.2,82.7,Yes,1,4.1,Medium,Yes,4.2,No,23.5,D,41.2
S0012,Other,25,Electronics,4,85.0,5.6,7.31,52.7,No,1,4.8,Low,No,7.1,No,1.1,C,58.0
S0013,Female,23,MBA,2,61.6,2.1,4.08,49.0,No,4,7.8,Medium,Yes,,Yes,12.3,F,9.0
S0014,Male,17,Civil,3,57.1,2.2,4.75,48.8,Yes,0,6.0,Low,Yes,6.5,No,7.5,F,28.9
S0015,Male,21,Computer Science,2,74.6,3.0,7.39,,No,4,6.0,Medium,No,7.6,Yes,2.8,D,39.3
S0016,Male,23,Electronics,3,77.3,3.9,6.69,61.0,Yes,0,5.3,Medium,Yes,5.6,No,4.9,D,44.5
S0017,Male,18,Civil,2,85.7,4.1,6.86,78.8,Yes,2,7.6,Medium,Yes,8.7,No,3.5,D,41.9
S0018,Female,20,Electrical,2,65.9,4.9,7.47,53.7,No,1,4.9,High,No,4.9,No,22.0,C,48.2
S0019,Male,23,Civil,1,64.4,5.0,,60.3,Yes,1,5.8,High,Yes,3.7,No,7.6,F,24.0
S0020,Male,17,Mechanical,2,77.8,4.0,,62.4,No,3,5.4,High,Yes,8.8,No,9.3,D,44.8
S0021,Female,21,Mechanical,1,65.7,4.3,5.9,61.6,No,1,3.3,Medium,No,7.1,No,10.0,D,33.4
S0022,Male,19,Electrical,2,79.7,6.6,7.61,85.8,Yes,2,5.9,Medium,Yes,5.6,No,11.2,B,71.2
S0023,Male,23,Computer Science,1,70.9,2.7,4.58,40.8,No,0,6.4,Medium,No,7.1,No,7.8,D,33.0
S0024,Male,24,Electronics,4,74.0,3.8,6.28,69.2,Yes,0,5.6,High,Yes,4.0,No,1.2,D,39.2
S0025,Male,23,Civil,3,81.6,6.9,8.56,78.3,Yes,1,6.2,Medium,Yes,6.6,No,5.1,C,53.0
S0026,Female,20,Mechanical,2,70.7,3.6,6.22,55.6,No,4,6.2,High,Yes,5.4,Yes,3.0,D,41.9
S0027,Male,22,Computer Science,1,71.9,3.5,7.15,67.7,Yes,4,6.3,High,Yes,,Yes,12.4,F,16.9
S0028,Female,22,Electrical,4,81.5,8.2,8.47,76.5,No,1,5.2,Medium,Yes,8.8,No,1.6,B,60.3
S0029,Female,19,BBA,3,78.9,3.6,7.54,70.3,Yes,1,5.2,Low,Yes,7.6,Yes,9.3,C,46.7
S0030,Male,22,MBA,3,85.0,6.3,8.82,84.6,Yes,1,6.6,Low,No,,Yes,3.4,B,61.1
S0031,Female,17,BBA,1,74.8,8.3,8.1,69.5,No,3,4.7,High,Yes,2.2,No,30.7,C,56.3
S0032,Male,20,BBA,2,78.6,2.0,6.24,67.4,Yes,0,6.2,Low,Yes,5.4,Yes,5.1,D,40.6
S0033,Male,19,Mechanical,1,75.1,3.1,5.88,42.6,No,0,8.5,High,Yes,,No,4.9,C,45.7
S0034,Female,18,Electrical,1,71.0,5.1,6.59,63.8,Yes,2,6.5,Medium,Yes,3.8,No,26.7,D,39.7
S0035,Other,18,Civil,3,,5.1,7.41,67.7,Yes,3,4.3,Medium,Yes,4.1,No,6.4,D,43.4
S0036,Female,21,BBA,3,80.3,2.7,7.64,71.9,Yes,0,6.7,High,Yes,3.6,Yes,33.9,D,37.0
S0037,Male,19,BBA,3,84.2,5.2,7.26,74.5,Yes,1,7.5,Medium,No,9.7,No,1.2,C,47.5
S0038,Male,21,Electronics,4,,1.0,5.61,68.7,Yes,1,5.5,Medium,No,4.1,Yes,4.7,D,42.0
S0039,Female,18,Mechanical,3,69.2,4.1,5.79,68.4,Yes,0,6.1,Medium,Yes,3.1,No,12.0,C,53.7
S0040,Male,19,Mechanical,2,80.6,5.6,7.18,76.5,Yes,4,5.4,Medium,No,5.7,No,23.2,C,46.8
S0041,Male,20,Civil,2,88.7,8.0,9.21,87.1,Yes,0,5.9,Medium,Yes,5.8,No,4.0,C,58.9
S0042,Female,21,MBA,4,65.0,5.0,5.58,51.9,No,0,5.7,Low,Yes,3.9,No,27.7,C,47.2
S0043,Male,19,Computer Science,1,,4.5,6.68,60.0,No,1,7.0,High,Yes,8.4,No,10.0,C,53.7
S0044,Female,20,Electronics,4,81.1,6.6,6.44,54.9,Yes,0,8.5,High,Yes,9.3,No,17.1,C,48.8
S0045,Male,22,Mechanical,3,79.8,4.0,5.74,76.3,Yes,1,6.6,Low,No,5.2,No,6.1,D,37.6
S0046,Female,20,Electronics,1,74.5,2.3,5.76,62.3,Yes,1,4.6,Medium,Yes,3.1,No,3.4,C,49.8
S0047,Male,19,Mechanical,2,76.8,3.7,6.9,79.1,Yes,1,9.5,Medium,Yes,6.8,No,25.2,D,42.7
S0048,Female,17,Electronics,4,,4.9,8.26,75.9,Yes,1,7.2,Low,Yes,7.8,No,28.1,C,48.4
S0049,Female,22,Electrical,2,65.6,4.0,4.36,65.8,Yes,2,7.4,High,Yes,,No,7.9,D,38.6
S0050,Male,17,BBA,4,81.6,7.6,8.97,76.6,Yes,2,6.4,Low,Yes,6.7,No,1.1,B,63.3
S0051,Other,22,Mechanical,4,,3.8,6.37,56.4,Yes,0,6.8,Low,No,4.3,Yes,2.2,C,46.8
S0052,Female,20,Electronics,2,76.1,3.3,6.48,,Yes,0,6.1,Medium,Yes,5.9,No,9.5,C,53.1
S0053,Female,23,Computer Science,2,77.0,6.2,7.47,68.5,No,0,7.6,Medium,Yes,6.8,No,1.2,C,48.8
S0054,Female,21,Electrical,4,64.6,6.8,7.91,76.7,No,0,5.9,Medium,Yes,4.4,No,6.1,C,51.2
S0055,Female,25,Electrical,3,84.7,5.6,6.42,68.5,Yes,4,7.1,Medium,Yes,7.1,No,4.6,C,47.9
S0056,Female,19,Computer Science,1,77.4,4.9,7.49,81.0,Yes,1,7.7,Medium,Yes,6.4,No,13.5,C,57.8
S0057,Male,21,Electronics,1,64.0,3.8,5.16,67.1,Yes,2,8.0,Medium,Yes,6.7,No,1.6,D,32.7
S0058,Male,20,Civil,2,80.7,3.3,8.25,67.3,No,1,7.7,Low,No,4.9,Yes,7.7,D,44.9
S0059,Male,20,Computer Science,4,78.5,5.2,7.75,68.7,Yes,0,5.3,Medium,Yes,6.8,No,9.7,C,50.0
S0060,Male,20,Electronics,4,81.2,2.2,7.8,73.7,Yes,2,8.4,Low,No,8.7,Yes,10.6,C,52.1
S0061,Male,22,Computer Science,3,68.4,5.2,6.02,73.0,Yes,1,7.3,Low,Yes,5.7,No,6.2,C,53.0
S0062,Male,25,Computer Science,1,77.3,5.7,8.52,66.8,No,0,6.9,Medium,No,5.6,No,4.6,C,56.2
S0063,Female,21,Mechanical,1,88.7,,7.39,69.7,No,2,7.0,Low,No,5.3,No,12.5,C,53.7
S0064,Male,20,Electronics,4,72.0,5.3,7.35,81.7,Yes,2,6.3,Low,Yes,6.5,No,19.8,C,47.6
S0065,Male,20,Civil,1,72.2,5.3,7.42,63.5,No,0,5.9,Low,Yes,6.2,No,12.8,D,39.9
S0066,Female,21,BBA,1,69.3,5.6,7.09,61.9,Yes,1,6.1,High,Yes,4.8,No,27.9,D,44.9
S0067,Male,19,Mechanical,1,83.3,6.7,7.1,52.7,No,2,8.0,High,Yes,7.2,No,13.6,C,47.3
S0068,Female,18,Computer Science,3,86.9,4.2,7.38,85.9,Yes,0,6.6,Medium,Yes,7.4,No,15.5,C,49.2
S0069,Male,19,BBA,4,75.1,5.7,8.67,62.0,No,1,6.8,High,Yes,2.9,No,2.8,C,45.7
S0070,Other,19,MBA,1,69.9,3.4,6.2,68.4,No,3,6.6,Medium,Yes,3.5,No,6.4,C,56.2
S0071,Female,19,BBA,2,68.1,,6.29,54.9,No,5,5.7,Medium,No,,No,7.6,C,49.2
S0072,Male,19,Computer Science,3,87.4,3.8,7.91,79.1,No,2,3.9,Low,No,5.1,Yes,4.0,C,46.3
S0073,Male,17,Computer Science,4,82.1,4.4,8.15,80.4,Yes,0,7.4,Medium,Yes,7.2,No,8.5,D,35.9
S0074,Female,17,Electronics,1,77.5,5.1,6.64,70.0,No,1,7.3,Medium,No,9.0,No,4.4,D,44.8
S0075,Female,25,Electronics,2,89.4,6.9,9.91,87.3,No,2,6.5,Medium,No,7.1,No,12.6,B,67.0
S0076,Female,20,Mechanical,2,79.9,3.8,6.34,66.9,Yes,2,5.2,Medium,Yes,8.9,No,7.4,D,30.4
S0077,Female,19,Civil,4,81.2,5.0,6.88,73.1,Yes,3,8.7,Medium,Yes,8.9,No,7.1,C,59.7
